city,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
port lincoln,-34.7333,135.8667,65.23,62,81,13.53,AU,1612669552
ayorou,14.7308,0.9174,74.25,20,97,8.88,NE,1612670058
witbank,-25.8713,29.2332,60.96,89,100,0.67,ZA,1612670059
bambous virieux,-20.3428,57.7575,80.01,94,40,3.44,MU,1612669545
sept-iles,50.2001,-66.3821,26.6,68,99,12.66,CA,1612670059
carman,49.4992,-98.0016,-18.4,63,25,9.22,CA,1612670059
marang,5.2056,103.2059,84.2,70,40,6.91,MY,1612670059
sorland,67.667,12.6934,33.06,92,41,13.47,NO,1612670060
fort nelson,58.8053,-122.7002,-25.6,68,1,2.3,CA,1612669508
tucuman,-26.8241,-65.2226,80.6,54,75,9.22,AR,1612670061
katobu,-4.9408,122.5276,87.91,61,100,6.15,ID,1612670061
leningradskiy,69.3833,178.4167,-11.29,73,9,5.7,RU,1612670061
makushino,55.2103,67.2442,12.61,94,100,22.91,RU,1612670061
coquimbo,-29.9533,-71.3436,59.0,82,0,4.61,CL,1612669988
sao felix do xingu,-6.6447,-51.995,72.82,94,100,1.01,BR,1612670061
karratha,-20.7377,116.8463,84.88,44,0,13.27,AU,1612669785
campbellton,48.0075,-66.6727,19.4,68,3,12.66,CA,1612670062
mecca,21.4267,39.8261,64.13,55,0,5.86,SA,1612670062
kloulklubed,7.0419,134.2556,82.4,89,75,12.66,PW,1612670062
yenagoa,4.9247,6.2642,77.9,92,15,3.33,NG,1612669820
maralal,1.0968,36.698,56.01,88,1,3.38,KE,1612670063
mirabad,30.4362,61.8383,58.46,26,0,6.44,AF,1612670064
saldanha,-33.0117,17.9442,66.2,88,2,5.75,ZA,1612670064
ancud,-41.8697,-73.8203,59.0,67,0,3.44,CL,1612670065
bereda,43.2686,-7.5406,36.0,100,78,1.01,ES,1612670065
rumford,44.5537,-70.5509,24.01,64,9,5.03,US,1612669790
aksu,41.1231,80.2644,37.9,60,100,2.33,CN,1612670065
ilulissat,69.2167,-51.1,28.4,40,0,23.02,GL,1612670018
labuhan,-6.8844,112.2051,83.21,80,10,16.44,ID,1612670065
seryshevo,51.0933,128.3786,-8.81,87,8,6.22,RU,1612670065
porto walter,-8.2686,-72.7439,74.43,90,100,1.12,BR,1612670065
monrovia,6.3005,-10.7969,75.2,100,40,4.59,LR,1612670066
beitbridge,-22.2167,30.0,73.36,84,100,11.32,ZW,1612670066
geri,35.1,33.4167,48.2,93,75,3.44,CY,1612670066
flin flon,54.7682,-101.865,-31.11,82,1,8.75,CA,1612670066
mponela,-13.5319,33.7401,64.51,95,100,5.7,MW,1612670066
tikrit,34.6071,43.6782,56.37,84,100,5.41,IQ,1612670066
geraldton,-28.7667,114.6,75.2,69,90,21.85,AU,1612670033
narsaq,60.9167,-46.05,44.6,31,75,17.27,GL,1612670066
atbasar,51.8,68.3333,7.79,93,100,24.85,KZ,1612669522
robertsport,6.7533,-11.3686,78.89,86,70,3.47,LR,1612670067
kiama,-34.6833,150.8667,75.2,60,75,13.8,AU,1612670067
montepuez,-13.1256,38.9997,70.27,99,100,1.95,MZ,1612670002
sekoma,-24.4,23.8833,66.27,91,85,9.75,BW,1612670067
ruteng,-8.6136,120.4721,73.49,89,98,2.73,ID,1612669552
iskateley,67.6803,53.1512,-25.94,85,100,13.94,RU,1612670067
carbajales,15.5167,-86.35,75.2,88,20,3.44,HN,1612670068
rondonopolis,-16.4708,-54.6356,72.63,77,95,1.23,BR,1612670068
cockburn town,21.4612,-71.1419,77.16,78,0,22.1,TC,1612669641
opuwo,-18.0607,13.84,69.48,43,92,3.11,NA,1612669795
fuxin,42.0156,121.6589,19.49,69,0,14.99,CN,1612670068
umm kaddadah,13.6017,26.6876,54.68,40,0,12.91,SD,1612669823
kenai,60.5544,-151.2583,16.0,86,90,3.44,US,1612670068
dudinka,69.4058,86.1778,-35.73,80,0,8.75,RU,1612670068
west lafayette,40.4259,-86.9081,17.6,73,90,10.36,US,1612670068
saint george,37.1041,-113.5841,52.0,24,1,3.44,US,1612669522
edson,53.5835,-116.4356,-14.8,76,1,2.3,CA,1612670069
matara,5.9485,80.5353,81.79,72,82,3.33,LK,1612669966
zambezi,-13.5432,23.1047,65.57,96,100,7.49,ZM,1612670069
quilmana,-12.95,-76.3833,71.17,75,100,2.1,PE,1612670069
tual,-5.6667,132.75,83.89,79,100,21.32,ID,1612670069
ponta delgada,37.7333,-25.6667,59.0,94,75,17.27,PT,1612669793
richmond,37.5538,-77.4603,46.99,46,40,8.05,US,1612669950
ostrovnoy,68.0531,39.5131,6.96,92,100,10.76,RU,1612670069
havre-saint-pierre,50.2334,-63.5986,26.6,93,90,34.52,CA,1612670069
namibe,-15.1961,12.1522,70.88,80,61,2.17,AO,1612670069
khandyga,62.6667,135.6,-19.73,84,89,1.72,RU,1612670070
plettenberg bay,-34.0527,23.3716,66.58,82,50,6.8,ZA,1612669539
nicoya,10.1483,-85.452,80.6,65,0,10.36,CR,1612669783
hambantota,6.1241,81.1185,78.8,94,0,8.05,LK,1612670070
parang,7.3704,124.2697,86.2,56,100,0.69,PH,1612670070
lompoc,34.6391,-120.4579,51.01,93,40,4.47,US,1612669868
christchurch,-43.5333,172.6333,68.0,64,0,23.02,NZ,1612670070
vila velha,-20.3297,-40.2925,73.4,88,90,6.91,BR,1612669616
nantucket,41.2835,-70.0995,37.99,75,1,9.22,US,1612669851
batticaloa,7.7102,81.6924,80.58,81,18,12.08,LK,1612670071
prado,-17.3411,-39.2208,77.29,90,100,12.64,BR,1612670071
dalby,-27.1833,151.2667,91.99,45,61,3.0,AU,1612670071
puerto leguizamo,-0.1934,-74.7819,73.11,96,100,1.43,CO,1612670071
klaksvik,62.2266,-6.589,35.6,64,75,17.27,FO,1612669874
liwale,-9.7667,37.9333,70.93,98,100,3.67,TZ,1612670071
honningsvag,70.9821,25.9704,27.81,94,100,25.32,NO,1612670071
muravlenko,63.7898,74.523,6.08,95,100,18.52,RU,1612670071
shasta lake,40.6804,-122.3708,59.0,31,1,4.61,US,1612670071
roma,43.2128,-75.4557,15.01,73,1,1.41,US,1612669949
veraval,20.9,70.3667,74.52,29,0,16.02,IN,1612670072
okha,53.5739,142.9478,6.78,94,100,11.45,RU,1612670072
nizhniy baskunchak,48.2198,46.8311,24.33,85,34,11.83,RU,1612670072
inhambane,-23.865,35.3833,76.59,87,92,7.31,MZ,1612670072
natal,-5.795,-35.2094,77.0,88,40,4.61,BR,1612669788
hienghene,-20.6833,164.9333,79.97,71,31,3.91,NC,1612670072
kutum,14.2,24.6667,45.1,56,6,8.01,SD,1612670014
vikulovo,56.8167,70.6107,27.16,97,100,23.6,RU,1612670072
